Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
138,SA_0000001400,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2015,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHLBY,0,0.00447,,,2024-08-12T15:16:09Z,2015,1/1/2015,12/31/2015
465,SA_0000001400,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2014,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHARE,0,0.01357,,,2024-08-12T15:16:09Z,2014,1/1/2014,12/31/2014
672,SA_0000001400,COUNTRY,NGA,AFR,Africa,YEAR,1969,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,DATASOURCE,DATASOURCE_GISAHNGA,0,0,,,2018-05-11T09:09:10Z,1969,1/1/1969,12/31/1969
681,SA_0000001400,COUNTRY,PNG,WPR,Western Pacific,YEAR,1973,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHPNG,0.21,0.21,,,2018-05-11T09:04:40Z,1973,1/1/1973,12/31/1973
974,SA_0000001400,COUNTRY,USA,AMR,Americas,YEAR,1981,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHUSA,5.26,5.26,,,2018-05-11T09:09:54Z,1981,1/1/1981,12/31/1981
1146,SA_0000001400,COUNTRY,GTM,AMR,Americas,YEAR,1995,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,DATASOURCE,DATASOURCE_GISAHGTM,0,0,,,2018-05-11T09:07:34Z,1995,1/1/1995,12/31/1995
1202,SA_0000001400,COUNTRY,BRA,AMR,Americas,YEAR,1968,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHBRA,1.41,1.41,,,2018-05-11T09:12:34Z,1968,1/1/1968,12/31/1968
1215,SA_0000001400,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHIDN,0.1,0.06283,,,2024-08-12T15:16:09Z,2019,1/1/2019,12/31/2019
1376,SA_0000001400,COUNTRY,GIN,AFR,Africa,YEAR,1966,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,DATASOURCE,DATASOURCE_GISAHGIN,0.16,0.16,,,2018-05-11T09:14:17Z,1966,1/1/1966,12/31/1966
1798,SA_0000001400,COUNTRY,PHL,WPR,Western Pacific,YEAR,2010,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,DATASOURCE,DATASOURCE_GISAHPHL,1.3,1.25816,,,2024-08-12T15:16:09Z,2010,1/1/2010,12/31/2010
2701,SA_0000001400,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,1995,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,DATASOURCE,DATASOURCE_GISAHMAR,0.05,0.05,,,2018-05-11T09:16:08Z,1995,1/1/1995,12/31/1995
