IndicatorCode,IndicatorName,Language
EMFLIMITELECTRICRF,Electric field (V/m),EN
EMFLIMITMAGNETIC,Magnetic flux density (microT),EN
EQ_CONDOMUSE,People who identify the use of condoms as a way to avoid AIDS (%),EN
FINPROTECTION_IMP_PG_190,"Increase in poverty gap  due to household  health expenditures at the $1.90 a day poverty line, in cents of international dollars",EN
FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)",EN
EMFLIMITELECTRIC900,Electric field limit at 900 MHz (V/m),EN
EMFLIMITELECTRICLF,Electric field (kV/m),EN
EMFLIMITPOWERDENSITY1800,Power density limit at 1800 MHz (W/m^2),EN
EMFSTANDARD,Existence of standards,EN
FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,EN
GDO_q10x1x1,Availability of generic anti-dementia medication,EN
GDO_q10x1x2,Availability of at least one anti-dementia medication approved for on-label use reimbursement,EN
AIR_10,Ambient air pollution  attributable DALYs per 100'000 children under 5 years,EN
AIR_12,Household air pollution attributable deaths in children under 5 years,EN
FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN
AIR_16,Household air pollution attributable DALYs in children under 5 years,EN
AIR_3,Percentage of the total population living in cities > 100'000 inhabitants,EN
AIR_35,Joint effects of air pollution attributable deaths,EN
AIR_36,Joint effects of air pollution attributable deaths in children under 5 years,EN
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",EN
EMFLIMITPOWERDENSITY,Power density (W/m^2),EN
EMFSAR,Specific absorption rate (SAR) (W/kg),EN
EMFSTATUS,Legislative status,EN
EQ_OVERWEIGHTADULT,Prevalence of overweight and obesity,EN
FINPROTECTION_CATA_TOT_10_LEVEL_MILLION,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions)",EN
FINPROTECTION_CATA_TOT_10_LEVEL_SH,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%)",EN
