IndicatorCode,IndicatorName
EMFLIMITELECTRICRF,Electric field (V/m)
EMFLIMITMAGNETIC,Magnetic flux density (microT)
EQ_CONDOMUSE,People who identify the use of condoms as a way to avoid AIDS (%)
FINPROTECTION_IMP_PG_190,"Increase in poverty gap  due to household  health expenditures at the $1.90 a day poverty line, in cents of international dollars"
FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)"
EMFLIMITELECTRIC900,Electric field limit at 900 MHz (V/m)
EMFLIMITELECTRICLF,Electric field (kV/m)
EMFLIMITPOWERDENSITY1800,Power density limit at 1800 MHz (W/m^2)
EMFSTANDARD,Existence of standards
FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures
GDO_q10x1x1,Availability of generic anti-dementia medication
GDO_q10x1x2,Availability of at least one anti-dementia medication approved for on-label use reimbursement
AIR_10,Ambient air pollution  attributable DALYs per 100'000 children under 5 years
AIR_12,Household air pollution attributable deaths in children under 5 years
FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%)
AIR_16,Household air pollution attributable DALYs in children under 5 years
AIR_3,Percentage of the total population living in cities > 100'000 inhabitants
AIR_35,Joint effects of air pollution attributable deaths
AIR_36,Joint effects of air pollution attributable deaths in children under 5 years
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)"
EMFLIMITPOWERDENSITY,Power density (W/m^2)
EMFSAR,Specific absorption rate (SAR) (W/kg)
EMFSTATUS,Legislative status
EQ_OVERWEIGHTADULT,Prevalence of overweight and obesity
FINPROTECTION_CATA_TOT_10_LEVEL_MILLION,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions)"
FINPROTECTION_CATA_TOT_10_LEVEL_SH,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%)"
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)"
EMFLIMITPOWERDENSITY900,Power density limit at 900 MHz (W/m^2)
EMFPOWERFREQUENCY,Power frequency (Hz)
FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large  health expenditures as a share of total expenditure or income
AIR_46,YLLs attributable to ambient air pollution (age-standardized)
AIR_5,Ambient air pollution attributable death rate (per 100 000 population)
GDO_q10x2_HOSUE,Availability of atleast one housing adjustment for people with dementia
GDO_q11x2x1,Dementia nongovernmental organization equipped with office
FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions)"
FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)"
FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions)
FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population pushed below the $3.20 a day poverty line by household health expenditures (millions)
FINPROTECTION_IMP_NP_310_LEVEL_SH,"Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global)"
FINPROTECTION_CATA_TOT_25_LEVEL_SH,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%)"
FINPROTECTION_IMP_NP_190_LEVEL_SH,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%)
GDO_q12x2_2,Existence of psycho-social supports for dementia carers
GDO_q12x2_3,Existence of respite care for dementia carers
GDO_q12x2_4,Existence of information on legal rights for dementia carers
GDO_q12x2x1x1_1PUB,Majority provider of dementia carer training and education (Public sector)
GDO_q12x2x1x1_2NGO,Majority provider of psycho-social supports for dementia carers (NGO)
FINPROTECTION_IMP_NP310_POP,"Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)"
FINPROTECTION_IMP_PG_310,"Increase in poverty gap  due to household  health expenditures at the $3.10a day poverty line, in cents of international dollars"
FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban)"
AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years
AIR_60,Household and ambient air pollution attributable DALYs
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)"
fpsmo,Demand for family planning satisfied - modern methods (%)
GDO_q10x2_TECH,Availability of  atleast one assistive technology for people with dementia
AMRGLASS_QA02,EQA provided for bacterial identification and AST
HCF_NO_ELECTRICITY,Percentage of health-care facilities with no access to any electricity supply (%)
HIV_0000000006,Number of people dying from HIV-related causes
HIV_0000000011,Reported number of children receiving antiretroviral therapy
